,city,lat,lon,humidity,wind,clouds,country,date,temp
331,te anau,-45.42,167.72,81,5.88,100,NZ,1595634685,47.23
332,trincomalee,8.57,81.23,77,14.25,93,LK,1595634685,80.31
333,otuzco,-7.9,-78.58,86,1.39,25,PE,1595634685,51.31
334,pipar,26.39,73.54,64,4.83,93,IN,1595634685,83.79
335,katsuura,35.13,140.3,88,6.93,75,JP,1595634686,82.4
336,beloha,-25.17,45.05,78,10.4,1,MG,1595634686,58.46
337,chokurdakh,70.63,147.92,43,6.67,37,RU,1595634686,77.29
338,yar-sale,66.83,70.83,77,9.31,10,RU,1595634686,54.18
339,lethem,3.38,-59.8,85,4.92,96,GY,1595634686,77.81
340,shirokiy,49.76,129.52,88,14.23,56,RU,1595634686,68.56
341,kitimat,54.05,-128.65,74,3.0,94,CA,1595634687,62.01
342,san luis,-33.3,-66.34,56,8.61,6,AR,1595634552,42.21
343,manjacaze,-24.71,33.88,89,3.02,9,MZ,1595634687,59.81
344,batemans bay,-35.72,150.18,98,0.27,98,AU,1595634687,54.0
345,okhotsk,59.38,143.3,60,7.05,1,RU,1595634631,61.95
346,whithorn,18.26,-78.04,70,6.93,20,JM,1595634687,86.0
347,soto la marina,23.77,-98.22,55,5.99,52,MX,1595634687,91.99
348,robertson,36.52,-86.87,94,6.93,75,US,1595634688,79.0
349,panormos,35.42,24.69,58,4.0,0,GR,1595634688,79.0
350,acajutla,13.59,-89.83,58,4.7,20,SV,1595634688,86.0
351,sinjar,36.32,41.88,30,8.88,0,IQ,1595634688,84.9
352,machali,-34.18,-70.67,62,4.9,1,CL,1595634688,41.56
353,savonlinna,61.87,28.88,87,6.93,100,FI,1595634688,53.6
354,aldan,58.6,125.39,95,2.66,99,RU,1595634688,59.95
355,kuzhithurai,8.32,77.18,88,1.12,40,IN,1595634688,78.8
356,namatanai,-3.67,152.43,70,9.95,0,PG,1595634689,84.96
357,belyy yar,53.6,91.39,87,1.36,98,RU,1595634689,59.0
358,soverato,38.69,16.55,73,4.7,0,IT,1595634689,78.8
359,hay river,60.82,-115.8,72,9.17,90,CA,1595634689,59.0
360,las tunas,20.96,-76.95,83,10.29,75,CU,1595634689,80.6
361,natal,-5.79,-35.21,83,6.93,20,BR,1595634689,75.2
362,cairns,-16.92,145.77,64,12.75,10,AU,1595634690,75.2
363,kohima,25.67,94.12,94,1.19,100,IN,1595634602,63.7
364,wittenheim,47.81,7.34,94,1.99,2,FR,1595634690,64.0
365,pecos,31.42,-103.49,25,17.22,1,US,1595634690,98.6
366,saint-augustin,51.23,-58.65,87,2.91,52,CA,1595634690,62.96
367,iquitos,-3.75,-73.25,74,9.17,40,PE,1595634690,84.2
368,labuhan,-6.88,112.21,77,12.8,100,ID,1595634690,74.34
369,sinnamary,5.38,-52.95,87,10.22,89,GF,1595634690,78.48
370,farah,32.5,62.5,22,3.69,0,AF,1595634690,73.33
371,wasilla,61.58,-149.44,82,3.36,90,US,1595634540,59.0
372,kupang,-10.17,123.58,69,11.41,20,ID,1595634691,75.2
373,geraldton,-28.77,114.6,66,19.46,0,AU,1595634691,48.2
374,kashary,49.04,41.01,69,3.27,40,RU,1595634691,59.68
375,leningradskiy,69.38,178.42,64,13.15,98,RU,1595634691,49.26
376,manggar,-2.88,108.27,79,13.69,59,ID,1595634691,80.8
377,champerico,14.3,-91.92,70,6.93,75,GT,1595634691,86.0
