,city,lat,lon,humidity,wind,clouds,country,date,temp
309,kahului,20.89,-156.47,55,27.51,20,US,1595627406,87.8
310,ugoofaaru,5.67,73.0,78,17.4,91,MV,1595627864,82.18
311,asuncion,-25.3,-57.64,87,10.29,90,PY,1595627722,53.6
312,tuatapere,-46.13,167.68,85,6.67,100,NZ,1595627544,46.6
313,along,28.17,94.77,89,0.45,100,IN,1595627615,73.51
314,mae sai,20.43,99.88,100,0.92,20,TH,1595627865,77.0
315,emmaus,40.54,-75.5,74,6.93,40,US,1595627699,82.99
316,mariental,-24.63,17.97,42,12.24,0,NA,1595627865,52.65
317,neftcala,39.37,49.25,68,4.29,96,AZ,1595627865,79.02
318,kysyl-syr,63.9,122.76,88,3.69,98,RU,1595627865,64.22
319,ozu,33.5,132.55,94,5.82,75,JP,1595627866,77.0
320,port lincoln,-34.73,135.87,89,3.49,0,AU,1595627613,50.14
321,pinawa,50.15,-95.88,45,14.05,6,CA,1595627656,91.04
322,hovd,48.01,91.64,57,1.92,0,MN,1595627342,64.04
323,blagoyevo,63.37,47.92,95,0.83,52,RU,1595627866,56.44
324,pareora,-44.49,171.21,59,4.38,4,NZ,1595627866,44.33
325,sakakah,29.97,40.21,12,6.93,0,SA,1595627867,93.2
326,ulaanbaatar,47.91,106.88,82,11.18,75,MN,1595627867,64.4
327,lincoln,40.8,-96.67,55,19.46,20,US,1595627867,91.4
328,kuybyshevo,47.81,38.91,54,5.61,48,RU,1595627867,64.17
329,srednekolymsk,67.45,153.68,32,6.71,65,RU,1595627868,82.45
330,libreville,0.39,9.45,78,8.05,20,GA,1595627868,78.8
331,constitucion,-35.33,-72.42,72,5.48,0,CL,1595627425,48.29
332,coahuayana,18.73,-103.68,74,11.41,90,MX,1595627559,82.4
333,kampene,-3.6,26.67,48,1.59,22,CD,1595627868,71.56
334,barrhead,55.8,-4.39,87,9.17,97,GB,1595627868,57.2
335,alofi,-19.06,-169.92,78,17.22,75,NU,1595627553,77.0
336,wanxian,30.8,108.39,82,4.72,75,CN,1595627868,79.97
337,slave lake,55.28,-114.77,63,6.93,90,CA,1595627869,62.6
338,carrickfergus,54.72,-5.81,100,9.17,100,GB,1595627869,63.0
339,souillac,-20.52,57.52,56,16.11,75,MU,1595627545,68.0
340,muros,42.78,-9.06,80,1.99,0,ES,1595627869,64.99
341,stornoway,58.21,-6.39,89,8.93,100,GB,1595627869,55.99
342,lagoa,39.05,-27.98,77,10.87,0,PT,1595627655,70.09
343,chokurdakh,70.63,147.92,53,7.07,24,RU,1595627544,73.15
344,boueni,-12.9,45.08,61,24.16,39,YT,1595627870,77.0
345,kurlovo,55.43,40.49,96,3.91,28,RU,1595627870,50.47
346,schoneiche,52.47,13.68,64,8.05,39,DE,1595627870,72.0
347,tokonou,9.65,-9.78,97,5.12,100,GN,1595627870,70.92
348,santa rosa,14.31,121.11,88,2.75,86,PH,1595627847,80.01
349,estrela,-28.06,-50.94,86,4.25,79,BR,1595627870,58.87
350,tecoanapa,16.52,-98.75,64,10.02,1,MX,1595627871,87.01
351,kalabo,-14.97,22.68,53,7.65,0,ZM,1595627871,54.82
352,saint anthony,45.02,-93.22,52,11.41,40,US,1595627762,91.99
353,macas,-2.32,-78.12,94,4.7,75,EC,1595627871,68.0
354,shimoni,-4.65,39.38,73,17.78,15,KE,1595627871,75.72
355,manokwari,-0.87,134.08,74,1.12,89,ID,1595627871,79.52
356,takoradi,4.88,-1.76,86,9.95,42,GH,1595627669,75.6
357,atar,20.52,-13.05,21,9.19,0,MR,1595627872,100.04
358,hasaki,35.73,140.83,100,1.12,75,JP,1595627617,75.2
359,debre birhan,9.68,39.53,91,2.17,43,ET,1595627872,52.05
360,dorohoi,47.95,26.4,72,4.7,21,RO,1595627872,66.2
361,peace river,56.25,-117.29,52,10.29,20,CA,1595627873,64.4
362,port blair,11.67,92.75,78,4.12,36,IN,1595627873,81.21
363,hinton,53.4,-117.59,46,4.07,94,CA,1595627873,63.34
364,norman wells,65.28,-126.83,40,12.75,20,CA,1595627565,69.8
365,leh,34.17,77.58,36,4.12,0,IN,1595627873,60.96
366,sibolga,1.74,98.78,74,3.4,75,ID,1595627873,76.41
367,casper,42.87,-106.31,26,12.75,1,US,1595627873,87.01
368,tafresh,34.69,50.01,36,4.29,59,IR,1595627873,70.45
369,iralaya,15.0,-83.23,74,5.82,40,HN,1595627874,86.0
370,charters towers,-20.1,146.27,86,4.94,0,AU,1595627639,60.24
371,batagay-alyta,67.8,130.41,47,3.36,21,RU,1595627874,71.17
372,opuwo,-18.06,13.84,39,7.2,0,NA,1595627616,54.82
373,ushtobe,45.25,77.98,64,6.24,96,KZ,1595627874,70.07
374,auki,-8.77,160.7,74,7.23,20,SB,1595627875,83.35
375,praia da vitoria,38.73,-27.07,68,3.44,20,PT,1595627654,71.6
376,jacareacanga,-6.22,-57.75,54,1.28,43,BR,1595627875,82.85
377,stokmarknes,68.56,14.91,82,8.05,75,NO,1595627875,57.2
378,harper,4.38,-7.72,85,10.42,77,LR,1595627550,75.56
379,whitehorse,60.72,-135.05,37,8.05,75,CA,1595627571,68.0
380,hami,42.8,93.45,36,5.26,0,CN,1595627615,75.78
381,luderitz,-26.65,15.16,22,9.17,0,NA,1595627528,69.8
382,porto novo,6.5,2.6,88,9.17,20,BJ,1595627876,77.0
383,nichinan,31.6,131.37,88,8.05,75,JP,1595627876,75.2
384,misratah,32.38,15.09,72,4.85,0,LY,1595627876,78.06
385,sonoma,38.55,-122.9,44,9.17,1,US,1595627876,82.0
